domain,trust_score,blacklisted,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_negative_count,facebook_comments_positive_count,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
app.voltage.finance,67.0,0,0.26,1,NL,1,0,3.41,0,0.0,0.0,0.0,0,0,0,1
hugedomains.com,100.0,0,0.04,1,US,0,0,20.74,1,1.29,0.5,0.11,10,171,48,0
ww25.coinftx.io,21.0,0,0.27,0,US,1,0,0.65,0,1.0,0.0,0.0,0,0,0,0
euro-crypto.com,13.0,0,0.18,1,DE,1,0,3.11,0,0.0,0.0,0.0,0,0,0,0
btcmarkets.net,100.0,0,0.0,1,US,1,0,11.18,0,4.54,0.0,0.0,0,2,0,1
bitget.com,100.0,0,0.21,1,US,1,0,21.48,0,1.56,0.0,0.0,1,17,5,1
pionex.com,1.0,0,0.14,1,NL,1,0,5.45,0,2.74,0.0,0.0,3,12,3,1
htx.com,100.0,0,0.17,1,US,1,0,28.62,1,1.32,0.0,0.0,0,0,0,1
raydium.io,100.0,0,0.0,1,US,1,0,3.48,0,2.12,0.0,0.0,0,2,0,1
cybercapital.ltd,1.0,0,0.3,1,US,1,0,1.34,1,1.0,0.0,0.0,0,0,0,0
idigitale-finance.com,42.0,0,0.07,1,US,1,1,4.18,0,0.0,0.0,0.0,0,0,0,0
cryptobourse.net,10.0,0,0.18,0,US,0,1,3.07,0,0.0,0.0,0.0,0,0,0,0
hugedomains.com,100.0,0,0.04,1,US,0,0,20.74,1,1.29,0.5,0.11,10,171,48,0
bitcoinified.com,1.0,0,0.34,1,CH,0,0,0.42,0,1.0,0.0,0.0,0,0,0,0
app.koi.Finance,56.0,0,0.08,1,US,1,0,1.25,0,0.0,0.0,0.0,0,0,0,1
cryptoexu.com,1.0,0,0.91,1,US,0,0,1.58,1,1.0,0.0,0.0,0,0,0,0
msbtc.com,5.0,0,1.0,1,BR,1,0,1.46,0,1.1,0.0,0.0,0,0,0,0
julswap.com,92.0,0,0.25,1,US,1,0,3.7,1,3.7,0.0,0.0,0,0,0,1
ccy-space.com,11.0,0,0.17,0,HK,1,0,1.02,0,1.0,0.0,0.0,0,0,0,0
capital-coventry.com,13.0,0,0.0,0,US,1,2,0.0,0,0.0,0.0,0.0,0,0,0,0
saucerswap.finance,92.0,0,0.04,1,US,1,0,2.42,1,0.0,0.0,0.0,0,0,0,1
axieminners.com,1.0,0,0.47,1,US,1,0,0.92,1,0.0,0.0,0.0,0,0,0,0
quickswap.exchange,62.0,0,0.38,1,US,1,0,3.83,0,1.9,0.0,0.0,0,0,0,1
coinifytradingbolt.net,1.0,0,0.55,1,US,1,0,1.96,1,0.0,0.0,0.0,0,0,0,0
gwt-capital.com,51.0,0,0.05,1,US,1,0,1.13,0,0.0,0.0,0.0,0,0,0,0
bitcoinera.app,1.0,0,0.27,1,US,1,0,4.75,0,1.29,0.0,0.0,0,2,0,0
btcc.com,1.0,0,0.07,1,US,1,0,29.16,0,3.54,0.0,1.0,0,6,1,1
mabanquecrypto.com,10.0,0,0.0,0,US,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0
mywitrade.com,1.0,0,0.03,1,US,1,0,1.08,1,3.51,0.0,0.0,0,0,0,0
ww25.accetmining.com,77.0,0,0.13,0,US,1,0,1.69,1,0.0,0.0,0.0,0,0,0,0
cryptology.com,100.0,0,0.2,1,NL,1,0,25.82,0,3.5,0.0,0.0,0,3,2,1
aspkdp.com,36.0,0,0.0,1,US,1,0,1.41,1,0.0,0.0,0.0,0,0,0,0
poloniefxt.com,1.0,0,0.45,1,US,1,0,1.55,1,2.95,0.0,0.0,0,0,0,0
bitunix.com,100.0,0,0.0,1,US,1,0,1.78,0,3.33,0.0,0.0,0,0,0,1
