domain,trust_score,blacklisted,ip_bad_count_total,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,alexa_rank,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_total_count,facebook_comments_negative_count,facebook_comments_positive_count,popularity_rank,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
,-1,False,0,0,False,,False,-1,0,0,False,0,0,0,0,-1,0,0,0,False
101investing.com,1,False,255,120,True,US,True,2550603,0,11.72,True,1.44,0,0,0,-1,0,13,5,False
10brokers.com,10,False,5000,448,True,US,True,5326585,0,3.33,True,2.02,5,2,0,-1,0,8,3,False
13xbtc.com,1,False,4,4,True,US,True,-1,0,7.06,True,1.26,0,0,0,-1,0,0,0,False
ww25.247bitcoins.net,77,False,5000,514,False,US,True,-1,0,7.59,False,1.0,0,0,0,-1,0,0,0,False
247cryptobase.com,40,False,502,104,True,,,-1,3,0,,1.0,0,0,0,-1,0,0,0,False
247tradegrowth.net,1,False,1567,645,True,AU,True,-1,0,0.96,True,1.0,0,0,0,-1,0,3,0,False
2639088.com,47,False,0,0,True,HK,True,-1,0,2.27,False,0,0,0,0,-1,0,0,0,False
2investgroup.com,1,False,235,76,True,US,True,-1,0,1.73,False,1.0,0,0,0,-1,0,0,0,False
360cryptotraders.com,1,False,34,16,True,US,,-1,0,1.88,,1.0,0,0,0,-1,0,0,0,False
365crypto.com,13,True,0,0,False,,True,-1,2,6.96,False,0,5,5,0,-1,0,0,0,False
365globalmarket.com,10,False,134,100,False,US,True,7980790,0,7.11,True,1.2,0,0,0,-1,0,0,0,False
,-1,False,0,0,False,,False,-1,0,0,False,0,0,0,0,-1,0,0,0,False
,-1,False,0,0,False,,False,-1,0,0,False,0,0,0,0,-1,0,0,0,False
,-1,False,0,0,False,,False,-1,0,0,False,0,0,0,0,-1,0,0,0,False
,-1,False,0,0,False,,False,-1,0,0,False,0,0,0,0,-1,0,0,0,False
5cae.com,12,False,5000,1562,True,US,,-1,0,0.5,,1.0,0,0,0,-1,0,0,0,False
600bitcoin.com,1,False,5000,175,True,US,True,-1,0,5.42,False,1.0,0,0,0,-1,0,0,0,False
